OBJECTID,COUNTY_NAME,COUNTY_NAME_SHORT,COUNTY_ABBREV,COUNTY_CODE,COUNTY_NUM,COUNTY_FIPS,ISLAND,GlobalID,Shape__Area,Shape__Length
45,Santa Clara County,Santa Clara,SCL,43,43,085,N/A,da0cac43-e05c-486b-9bb5-e5168d7c5db2,5341020536.20703,433489.997272403
46,Santa Cruz County,Santa Cruz,SCR,44,44,087,N/A,0a91231e-47c0-42eb-a151-fd99949736f1,1817640877.45703,296955.121888809
47,Shasta County,Shasta,SHA,45,45,089,N/A,ca0e2281-19a2-4030-9b73-b7d11f7f4832,17409153757.0313,706967.533767811
48,Sierra County,Sierra,SIE,46,46,091,N/A,f3b83984-e020-4971-bff5-fd6399b0fede,4195546472.09375,374834.083997778
49,Siskiyou County,Siskiyou,SIS,47,47,093,N/A,203ed1e7-8924-4527-9de0-7412547c5caf,29416015422.5234,897698.369882314
50,Solano County,Solano,SOL,48,48,095,N/A,a5947849-386f-4f39-a992-a6e32d0a889c,3814540531.68359,339900.197301043
51,Sonoma County,Sonoma,SON,49,49,097,N/A,ba3312f6-a9e0-46b7-b6f5-e99dd6241af6,6798606472.69531,535464.303554872
52,Stanislaus County,Stanislaus,STA,50,50,099,N/A,257d7b70-3f4f-47eb-b511-4f1a9c4e0fcf,6260623146.87891,482356.850223737
53,Sutter County,Sutter,SUT,51,51,101,N/A,ada5503e-855c-4325-ba0a-58415fbc72ab,2616098363.78516,347826.164822717
54,Tehama County,Tehama,TEH,52,52,103,N/A,b690b3ae-c7f7-44d7-944e-95197dbe10e6,13118019591.6211,626022.926419126
55,Trinity County,Trinity,TRI,53,53,105,N/A,cc2cd85d-c01b-4c95-b2c9-d52a77efe688,14447622058.1289,807269.567396948
56,Tulare County,Tulare,TUL,54,54,107,N/A,c349b689-8fb7-4fa9-82cc-c2269b2f42ee,19296935819.793,651796.259469201
57,Tuolumne County,Tuolumne,TUO,55,55,109,N/A,c1d8b8f0-11f7-4c91-9bca-16ce252bd854,9513391487.05859,643362.176668676
58,Ventura County,Ventura,VEN,56,56,111,Channel Islands,51461fd0-59b0-47fd-8f71-8f813ebf4cf6,86655753.3164063,102252.208782943
59,Ventura County,Ventura,VEN,56,56,111,N/A,1815a072-c857-40cb-bd3d-d25e44fe6f8f,7000003896.47656,372526.485520141
60,Yolo County,Yolo,YOL,57,57,113,N/A,ea062386-cb8f-4b1b-b404-9e619c496435,4348085992.44922,418304.723234123
61,Yuba County,Yuba,YUB,58,58,115,N/A,d55d5db5-54bc-4e6c-a4b4-fad5e880fba9,2785392362.57031,364773.908038158
